"neo_id","date","hour","minute","relative_velocity_kph","miss_distance_km","orbiting_body",
"2090367","2020-01-13","18","05","52559.2770182834","28052538.457890633","Earth",
"2096315","2020-03-09","02","29","115260.8910824491","56729341.61667393","Earth",
"2096744","2020-02-15","09","41","122196.0597581452","69187064.13373499","Earth",
"2099907","2020-10-25","00","35","83785.6677820266","39871011.4294158","Earth",
"2099935","2020-07-02","01","10","49458.3748616758","53982106.10636191","Earth",
"2099942","2021-03-06","01","15","16504.2934567603","16852369.83412266","Earth",
"2100004","2021-10-03","10","59","97234.3437340975","60741076.834423356","Earth",
"2100756","2021-12-15","04","39","59991.9842029853","57545230.68726613","Earth",
"2103067","2020-02-02","23","35","81068.1009767183","45560228.28401543","Earth",
"2106538","2020-03-31","15","08","81299.9180852978","63272180.76221373","Earth",
"2106589","2020-05-31","00","44","80530.5546656082","56775653.25760089","Earth",
"2136582","2020-02-11","23","29","25444.0865664546","56937752.16888893","Earth",
"2136635","2021-03-26","10","50","11176.6870301838","48446117.84710739","Earth",
"2136770","2021-08-09","22","31","76158.3052087506","48900475.89947991","Earth",
"2136795","2020-05-21","21","45","42034.047924591","6156628.413194104","Earth",
"2136900","2020-10-15","02","03","51697.5376200948","31482873.057961255","Earth",
"2137032","2020-10-21","08","43","157299.5028029616","74295771.06141402","Earth",
"2137064","2020-04-11","19","39","36478.9061624189","37675495.272189476","Earth",
"2137099","2020-04-27","11","49","75795.0987160004","66538402.190475695","Earth",
"2137108","2020-07-26","04","35","77986.0546297574","41863866.9033595","Earth",
"2137120","2020-02-01","01","38","76374.0046282356","41667243.870431796","Earth",
"2137158","2020-09-16","12","15","75327.9446622848","72558510.6991435","Earth",
"2137199","2020-01-25","08","09","32403.9103749663","34285608.27101904","Earth",
"2137799","2020-08-09","23","34","13708.1406921902","51065830.986864686","Earth",
"2137924","2020-02-09","23","05","124486.1275513532","17085977.963410255","Earth",
"2138127","2021-03-06","20","34","54300.0886184419","25147447.694028646","Earth",
"2138175","2021-09-23","01","58","27990.6644305995","35675970.66536202","Earth",
"2138359","2021-07-25","21","35","71595.5628581618","70801461.9644632","Earth",
"2138404","2021-09-20","03","30","47317.863113694","21949275.24015377","Earth",
"2138847","2020-04-18","02","28","47979.9562510663","70340126.63751431","Earth",
"2138852","2020-11-10","06","24","53100.5605233736","20533782.90193522","Earth",
"2138859","2021-01-05","19","16","90425.4011370454","59353697.37672881","Earth",
"2138893","2021-10-01","21","58","61816.7726424317","64716715.97107493","Earth",
